time_step,x,y
489,851,170
490,870,175
491,889,183
492,911,194
493,929,204
494,953,222
495,970,235
496,986,246
497,1009,263
498,1029,276
499,1051,290
500,1075,302
501,1099,316
502,1126,329
503,1144,337
504,1170,348
505,1191,356
506,1212,364
507,1229,370
508,1248,375
509,1275,378
510,1290,381
511,1315,381
512,1336,383
513,1360,383
514,1382,384
515,1404,384
516,1425,384
517,1441,384
518,1458,382
519,1476,381
520,1493,380
521,1510,380
522,1527,381
523,1543,383
524,1568,383
525,1575,385
526,1592,388
527,1611,392
528,1626,396
529,1640,409
530,1641,415
531,1640,426
532,1640,438
533,1643,455
534,1647,474
535,1647,491
536,1645,513
537,1643,538
538,1642,555
539,1639,574
540,1636,595
541,1636,614
542,1637,638
543,1638,659
544,1641,684
545,1645,708
546,1648,725
547,1652,753
548,1655,775
549,1658,796
550,1661,821
551,1662,846
552,1662,871
553,1662,894
554,1659,908
555,1653,920
556,1649,909
557,1638,903
558,1638,911
559,1629,914
560,1624,921
561,1623,931
562,1631,931
563,1635,932
564,1630,919
565,1627,913
566,1630,916
567,1648,933
568,1655,945
569,1651,943
570,1655,938
571,1651,936
572,1658,946
573,1655,940
574,1659,942
575,1648,940
576,1649,939
577,1661,945
578,1649,943
579,1636,936
580,1650,941
581,1655,943
582,1652,936
583,1655,941
584,1645,927
585,1651,924
586,1647,937
587,1645,935
588,1649,942
589,1650,930
590,1648,930
591,1651,937
592,1656,939
593,1653,930
594,1656,934
595,1660,934
596,1650,932
597,1648,929
598,1650,929
599,1648,934
600,1653,931
601,1642,927
602,1662,941
603,1658,940
604,1658,941
605,1641,921
606,1658,944
607,1663,937
608,1661,948
609,1652,926
610,1662,940
611,1653,937
612,1654,939
613,1648,927
614,1646,927
615,1654,938
616,1657,941
617,1657,940
618,1659,941
619,1680,950
620,1666,940
621,1659,940
622,1647,924
623,1656,925
624,1661,928
625,1666,938
626,1666,937
627,1663,914
628,1659,913
629,1664,921
630,1661,923
631,1664,939
632,1647,918
633,1641,917
634,1642,925
635,1649,938
636,1648,931
637,1657,934
638,1651,933
639,1653,938
640,1654,935
641,1653,939
642,1649,939
643,1643,935
644,1648,931
645,1649,930
646,1642,925
647,1648,921
648,1653,926
649,1657,921
650,1661,919
651,1664,920
652,1683,941
653,1682,930
654,1672,933
655,1662,935
656,1656,941
657,1645,950
658,1634,957
659,1618,956
660,1605,947
661,1591,934
662,1585,924
663,1576,915
664,1563,906
665,1550,896
666,1536,879
667,1524,864
668,1511,844
669,1500,829
670,1488,810
671,1477,792
672,1468,769
673,1459,747
674,1448,724
675,1438,701
676,1430,681
677,1423,663
678,1413,644
679,1404,625
680,1398,606
681,1390,587
682,1383,568
683,1376,549
684,1368,530
685,1364,515
686,1356,497
687,1347,479
688,1337,461
689,1328,442
690,1316,423
691,1302,404
692,1290,385
693,1276,366
694,1261,346
695,1250,331
696,1236,319
697,1223,311
698,1207,299
699,1196,291
700,1180,281
701,1163,271
702,1145,262
703,1126,248
704,1111,240
705,1097,233
706,1078,220
707,1063,209
708,1045,195
709,1029,180
710,1015,170
711,1003,164
712,986,154
713,970,147
714,953,138
715,936,133
716,916,130
717,901,127
718,886,124
719,863,125
720,847,126
721,826,129
722,801,134
723,783,139
724,760,148
725,742,155
726,720,168
727,702,178
728,683,193
729,667,206
730,648,225
731,638,231
732,620,249
733,608,263
734,594,277
735,578,294
736,563,310
737,544,328
738,531,344
739,517,362
740,500,380
741,485,404
742,473,419
743,460,440
744,447,458
745,437,478
746,427,497
747,417,521
748,411,542
749,404,562
750,400,579
751,399,603
752,397,628
753,396,650
754,398,676
755,397,697
756,398,723
757,402,747
758,407,772
759,407,787
760,414,807
761,420,824
762,432,845
763,450,869
764,457,880
765,474,901
766,489,915
767,507,932
768,514,937
769,522,935
770,530,933
771,537,932
772,557,932
773,574,929
774,599,930
775,618,927
776,637,925
777,653,921
778,676,917
779,691,914
780,708,910
781,721,907
782,750,892
783,771,883
784,792,874
785,812,867
786,828,857
787,845,848
788,864,839
789,888,827
790,903,819
791,927,805
792,948,794
793,962,787
794,986,777
795,1012,769
796,1030,767
797,1056,762
798,1088,757
799,1107,753
800,1127,751
801,1144,751
802,1168,746
803,1189,743
804,1215,740
805,1241,737
806,1262,735
807,1283,733
808,1307,733
809,1335,733
810,1358,734
811,1380,735
812,1403,736
813,1421,736
814,1445,738
815,1465,739
816,1488,738
817,1510,736
818,1526,735
819,1551,735
820,1572,735
821,1586,733
822,1603,733
823,1613,733
824,1633,736
825,1620,740
826,1619,748
827,1614,757
828,1608,766
829,1603,780
830,1598,794
831,1595,813
832,1592,826
833,1588,847
834,1580,866
835,1571,886
836,1564,902
837,1560,925
838,1559,935
839,1563,930
840,1573,928
841,1580,918
842,1586,917
843,1591,917
844,1596,922
845,1614,937
846,1621,941
847,1630,941
848,1633,943
849,1653,947
850,1661,952
851,1648,956
852,1665,953
853,1651,945
854,1653,938
855,1646,932
856,1651,929
857,1649,934
858,1645,928
859,1651,921
860,1664,934
861,1666,924
862,1663,921
863,1670,934
864,1685,932
865,1688,937
866,1670,940
867,1662,934
868,1649,928
869,1632,924
870,1615,921
871,1601,918
872,1590,917
873,1573,915
874,1553,912
875,1534,907
876,1514,900
877,1494,893
878,1470,884
879,1447,875
880,1428,866
881,1407,862
882,1382,859
883,1359,859
884,1338,858
885,1315,861
886,1296,863
887,1279,865
888,1257,870
889,1241,873
890,1224,876
891,1207,880
892,1188,884
893,1167,886
894,1158,887
895,1139,888
896,1114,885
897,1096,882
898,1078,880
899,1056,876
900,1045,873
901,1022,865
902,1005,858
903,983,846
904,965,836
905,950,826
906,931,811
907,915,797
908,901,783
909,888,774
910,875,763
911,861,753
912,846,740
913,832,727
914,811,710
915,796,696
916,778,683
917,762,668
918,747,651
919,734,635
920,720,617
921,706,597
922,699,584
923,685,569
924,675,558
925,662,540
926,652,524
927,642,509
928,631,490
929,624,477
930,611,457
931,605,442
932,598,425
933,588,408
934,580,394
935,570,375
936,561,361
937,545,338
938,538,323
939,530,311
940,517,292
941,505,277
942,493,257
943,476,236
944,471,218
945,462,202
946,451,186
947,445,172
948,444,170
949,445,159
950,447,152
951,457,157
952,463,162
953,472,155
954,479,150
955,495,139
956,510,138
957,525,141
958,546,138
959,566,137
960,582,138
961,605,143
962,623,149
963,645,160
964,664,171
965,676,180
966,696,197
967,714,217
968,729,234
969,743,251
970,762,274
971,777,295
972,792,318
973,805,341
974,818,361
975,828,383
976,837,405
977,845,426
978,852,444
979,860,465
980,866,480
981,869,498
982,872,519
983,874,538
984,883,579
985,888,595
986,899,626
987,900,636
988,905,652
989,909,673
990,912,689
991,916,705
992,921,730
993,926,751
994,934,772
995,940,793
996,949,813
997,962,835
998,978,858
999,991,876
1000,1003,895
1001,1024,914
1002,1048,937
1003,1055,940
1004,1070,943
1005,1076,936
1006,1083,938
1007,1096,934
1008,1114,920
1009,1132,907
1010,1148,894
1011,1160,882
1012,1179,863
1013,1192,848
1014,1208,829
1015,1221,811
1016,1236,791
1017,1250,769
1018,1262,752
1019,1277,729
1020,1293,708
1021,1308,689
1022,1318,676
1023,1332,659
1024,1346,643
1025,1361,625
1026,1375,611
1027,1387,594
1028,1398,581
1029,1410,564
1030,1423,543
1031,1431,527
1032,1440,505
1033,1445,485
1034,1450,467
1035,1454,445
1036,1456,423
1037,1453,398
1038,1448,372
1039,1442,349
1040,1434,330
1041,1423,311
1042,1410,291
1043,1399,274
1044,1390,257
1045,1379,242
1046,1368,225
1047,1356,212
1048,1343,195
1049,1332,182
1050,1320,166
1051,1310,153
1052,1301,146
1053,1300,148
1054,1290,149
1055,1285,153
1056,1278,154
1057,1267,151
1058,1256,145
1059,1249,142
1060,1236,138
1061,1223,133
1062,1205,132
1063,1192,140
1064,1182,147
1065,1171,152
1066,1155,162
1067,1139,174
1068,1124,188
1069,1110,204
1070,1097,225
1071,1084,246
1072,1073,268
1073,1062,298
1074,1052,324
1075,1042,349
1076,1036,366
1077,1028,386
1078,1023,402
1079,1011,404
1080,1000,398
1081,989,382
1082,985,372
1083,974,363
1084,962,357
1085,941,346
1086,925,334
1087,910,321
1088,898,304
1089,884,286
1090,873,270
1091,862,251
1092,851,231
1093,842,218
1094,830,197
1095,822,182
1096,812,168
1097,801,153
1098,783,142
1099,780,152
1100,771,153
1101,762,155
1102,753,157
1103,741,160
1104,726,159
1105,710,162
1106,701,164
1107,682,170
1108,668,173
1109,653,178
1110,639,184
1111,621,194
1112,602,201
1113,585,208
1114,569,216
1115,547,230
1116,529,240
1117,508,251
1118,491,261
1119,476,271
1120,459,279
1121,446,287
1122,429,297
1123,411,307
1124,388,318
1125,371,329
1126,346,342
1127,314,361
1128,301,366
1129,295,372
1130,301,380
1131,301,391
1132,302,398
1133,314,405
1134,316,416
1135,319,431
1136,318,441
1137,321,471
1138,321,483
1139,326,516
1140,333,540
1141,340,567
1142,342,587
1143,349,612
1144,357,636
1145,360,652
1146,365,674
1147,376,696
1148,384,720
1149,397,744
1150,406,759
1151,417,778
1152,433,802
1153,449,824
1154,457,839
1155,472,859
1156,484,877
1157,494,888
1158,509,905
1159,527,919
1160,544,930
1161,566,942
1162,589,952
1163,602,957
1164,620,964
1165,636,971
1166,656,969
1167,675,969
1168,676,965
1169,696,963
1170,718,954
1171,737,950
1172,763,940
1173,787,935
1174,804,929
1175,821,925
1176,844,919
1177,873,913
1178,897,903
1179,912,900
1180,933,895
1181,960,889
1182,984,884
1183,1008,879
1184,1028,875
1185,1048,873
1186,1079,870
1187,1105,868
1188,1134,865
1189,1161,860
1190,1187,856
1191,1216,852
1192,1239,849
1193,1262,845
1194,1292,841
1195,1318,838
1196,1343,835
1197,1369,831
1198,1394,828
1199,1415,826
1200,1438,824
1201,1460,820
1202,1479,817
1203,1499,814
1204,1530,812
1205,1551,809
1206,1573,810
1207,1589,809
1208,1611,808
1209,1626,809
1210,1634,812
1211,1636,810
1212,1641,800
1213,1636,798
1214,1634,793
1215,1630,789
1216,1638,774
1217,1641,765
1218,1648,741
1219,1654,725
1220,1660,709
1221,1664,689
1222,1668,671
1223,1674,651
1224,1678,633
1225,1680,611
1226,1677,583
1227,1676,569
1228,1669,548
1229,1663,529
1230,1656,504
1231,1650,489
1232,1648,474
1233,1643,453
1234,1637,429
1235,1634,413
1236,1631,392
1237,1629,372
1238,1628,354
1239,1627,339
1240,1624,320
1241,1622,296
1242,1619,276
1243,1620,254
1244,1621,231
1245,1626,202
1246,1629,181
1247,1632,156
1248,1635,136
1249,1642,145
1250,1649,147
1251,1631,148
1252,1623,143
1253,1616,137
1254,1607,138
1255,1596,142
1256,1586,149
1257,1574,153
1258,1568,154
1259,1550,159
1260,1530,165
1261,1513,171
1262,1496,179
1263,1478,190
1264,1460,201
1265,1443,211
1266,1421,225
1267,1402,237
1268,1383,250
1269,1365,263
1270,1350,275
